2020-04-05 23:07:45.478 [main] INFO  com.e.caseservice.CaseserviceApplication - Starting CaseserviceApplication on WINDOWS-IQJCK5O with PID 47636 (E:\java-code\caseservice\target\classes started by Administrator in E:\java-code\caseservice)
2020-04-05 23:07:45.483 [main] INFO  com.e.caseservice.CaseserviceApplication - No active profile set, falling back to default profiles: default
2020-04-05 23:07:46.677 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9091 (http)
2020-04-05 23:07:46.686 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9091"]
2020-04-05 23:07:46.687 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-05 23:07:46.688 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-05 23:07:46.854 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-05 23:07:46.854 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1226 ms
2020-04-05 23:07:47.274 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-05 23:07:47.544 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9091"]
2020-04-05 23:07:47.566 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9091 (http) with context path ''
2020-04-05 23:07:47.570 [main] INFO  com.e.caseservice.CaseserviceApplication - Started CaseserviceApplication in 2.886 seconds (JVM running for 3.899)
2020-04-05 23:07:52.079 [http-nio-9091-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-05 23:07:52.080 [http-nio-9091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-05 23:07:52.086 [http-nio-9091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-04-05 23:07:52.127 [http-nio-9091-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
